name,review
endless night,"i usually read agatha christie to unwind, and although they always guarantee a highly enjoyable hour filled with chuckles and gasps, there is an element of 'lightness' and dismissal involved.well, that serves me right. this book smacked the patronizing smirk right off my face and i am drooling on the floor, well and truly humbled. written lightly, as always, but for the first time, the weight of evil - the kind of evil that wears perfume, goes shopping and is grumpy in the morning - makes its presence softly, sweetly known.$this is a chilling stand alone novel by agatha christie. endless night is quite different than agatha christie's poirot or marple series. the story is narrated by the main character, micheal rogers, a young man with grandeur ideas but with no obvious means of attaining it. he is fascinated with gipsy's acre - a plot of land in rural england that is said to be cursed by the gypsies who once lived there and who were driven away.$well, this is an interesting little oddity. if i'd picked this novel up blind, not knowing who the author was, then i think i could have got through the first few chapters without being able to guess. here is a narrator who is just so un-christie. for a start he's very much working class, your callow and unpolished drifter. a good looking and smooth-talking boy, who at points seemed to me like he'd strayed in from a joe orton play. the tone is very un-christie too, and michael roberts – the narrator in question – reminded me of some of jim thompson's more gauche protagonists. (dusty rhodes in ‘a swell looking babe' came to mind.) this is a not very bright lad who thinks he's smart at points, but doesn't have as keen a grip on the world as he believes he does."
fire on the mountain,"nanda kaul is contentedly living out her twilight years in near-isolation in the indian hillstation of kasauli, until she receives a letter from her daughter advising that nanda's great-granddaughter, raka, is coming to stay. neither nanda nor raka is happy with this state of affairs, but nanda is the first to thaw. a visit from nanda's childhood friend, ila das, provides some gentle comic relief as well as the set-up for the shocking climax to this story$i was enjoying this so much, i was loving this and it made me happy as i read it, and then i reached the ending and i became bitter. that familiar feeling of loathing i held for so long towards ignorance and men rose like bile up my throat. i hate people. i hate men, specifically. i hate the way this book led me up to something happy and then dashed me down into something depressing.$the painstakingly created solitude of a nanda kaul is suddenly disturbed when her great granddaughter is sent to her for recuperation. discomfort soon turns to tenderness when the little one proves to be different from assumptions. a simple story but desai's skill at describing the life in the hills of kasauli and the sparse descriptions are going to be etched in memory for a long long time!$anita desai so far is one of the very few writers who is able to directly influence my mood through their work. should you see a tragic end, you too would feel so; if it were a heart-warming end, you too would be smiling. i really felt my mood change at the culmination scene. such an amazing writer she is! such a gripping tale this is. if not for anyone else, it was certainly relatable to me."
five point someone,"i purchased this book a while back from a book vendor whose little shop by the streets is a part of an open circulatory library sort of thing in my city. what happens in this circuit is that you buy a book for a negotiable price and return it later at any date and time and get half the price back for it. i normally buy these books and retain them with me because they are some pretty awesome buys for the price i pay for them.$the first time i picked up this book, it felt like i was going to do a great thing. dad had warned me not to read it, but being the reader i am, i took him lightly. until i found out the gross it contained.i knew definitely that it was not the best book in the world, that too far from my preferred genres: i had been a non fiction and self help lover then. i read it when i was probably twelve. i hated the idea to read it but finally, i heard some news about it being adapted as a film when i read it.$i must confess, this book is utter crap! its an insult to english language. its even worse than those soppy mushy crappy juvenile novels that i have seen my teenage friends gushing over!honestly, did bhagat ever edit his book??? perhaps he simply didnt have any idea of what to write.$another great piece of trash from cb. just because i could relate, a little bit, with the college life depicted; and because of mentioning pink floyd at one place; that this book has earned one extra star. $a good book should be written so that any age group can enjoy it. and although i'd say i am older than professor cherian, i can remember waiting on test results and definitely having the decision to make about how many hours to study. also, i have been on the other side of it giving assignments.$this book is seriously overrated. i was in class five when i first read this book. some of you might say that i was way too young to be reading such a book, but then we all need a break from kiddish stories once in a while in our childhood. i was in attending a school play (which was too long and pointless), when my eye caught this book in the hands of the girl next to me. she was definitely in class eight or nine. at that time the book was very, very popular since the movie was coming out and everyone wanted to know about the book as well. i had heard a lot about this book and so i begged the girl to let me read the book, promising her that i would take good care of it. as it turned out, the book wasn't that good at all. in fact the movie was way better.$"
god of small things,"okay, first things first. the god of small things is a very very clever book, but what makes it exceptional is that it is both beautiful and crafty, a rare combination. this book has structure. lots of it. she effectively creates a language of her own, a juvenile lucid language which complements the wistful mood of the book beautifully. the plot moves around in space and time with masterful ease and one can't help but experience a vague sense of foreboding, a prickly fear in the back of your neck$it is 1969 and india although having achieved independence twenty years earlier is still mired in its caste system. in this light, arundhati roy brings us her masterful first novel the g-d of small things which won the man booker prize in 1997. a powerful novel filled with luscious prose and a heart rending story, roy reveals to her readers an india hanging onto to the traditions of the past with a slight glimpse of her future. $it is 1969 and india although having achieved independence twenty years earlier is still mired in its caste system. in this light, arundhati roy brings us her masterful first novel the g-d of small things which won the man booker prize in 1997. a powerful novel filled with luscious prose and a heart rending story, roy reveals to her readers an india hanging onto to the traditions of the past with a slight glimpse of her future.$as i stand just outside the compound with the untended garden - an uninvited, random visitor - the darkened ayemenem house resembles a haunted mansion, belying the truth of the lives it once nurtured with maternal protectiveness in its cozy interiors. derelict. abandoned. forgotten.but i remember. i remember the lives lived, and the loves which were birthed by circumstances, loves which breathed for a while before perishing on the altar of conformity. $the god of small things won the booker prize in 1997, and i'd heard very good things about it. and yet i really didn't like it. it's not a bad book - far from it. the characters she has created are really wonderful, and she has succeeded in evoking all the noises and sights and smells of kerala, even for someone like me who's never been further east than poland. the narrative structure is disjointed, wandering from the now to 1969 and back again, but i never found myself getting confused by it."
gone with the wind,"it takes guts to make your main character spoiled, selfish, and stupid, someone without any redeeming qualities, and write an epic novel about her. but it works for two reasons. first of all you wait for justice to fall its merciless blow with one of the most recognized lines in cinema (frankly my dear, i don't give a damn), but you end with a broken and somewhat repentant character and you can't be pitiless. secondly, if you were going to parallel the beautiful, affluent, lazy, spirited south being conquered by the intellectual, industrious north, what better way to do that than with characters who embody those characteristics? you come to feel a level of sadness that the south and scarlett lost their war and hope that they will rebuild.$ honestly do not know whether to give this book 5 stars for being one of the most completely engrossing, shocking, and emotionally absorbing pieces of literature ever written, or to give it 0 stars for being the most tragic, unendingly upsetting, disturbing book i have ever read. i read the last 50 pages or so literally with my mouth wide open, unable to believe that it was really going to be that tragically sad. when i finally finished, i walked downstairs in a daze, handed the book to my husband, and told him to burn it and never let me see it again. throughout the book, i frantically kept reading, often until 2am or later, just to see when it would turn around and start getting happy, but there was never any redemption - it never got happy or uplifting. it just kept spiraling down, down, into despair. maybe after a few days i will be able to step back and give it a proper rating (i just finished it last night, and am still reeling from it)..$one of my reading themes for 2016 is reading at least ten classic books. it seems only fitting that on the fourth of july i completed margaret mitchell's gone with the wind, an epic masterpiece that many view as the definitive great american novel. $so much has been said in praise of this book it feels redundant to add more. in terms of the slave-holding society, the film actually toned-down the pro-south view of reconstruction (scarlett's second husband joined the kkk in the book) and mammy remains probably one of the most fully-developed and likeable african-american characters from 1930 you'll read."
great work of time,"great work of time is a story about people who travel through time. the plot centers on the british empire and its influence throughout its colonies, most specifically its african holdings. naturally, the actions of these time travelers have consequences that spread throughout the continuum of time and space, altering everything they touch.$a mind-boggling, highly literate take on time travel, the necessity of evil, and the character of british rule. it would be a mistake to dimiss this as a simple mobius story - it's more complex and thoughtful than that description implies, and at novella-length, richer than most longer works.$crowley proved his master-craftsmanship in little, big, a work that embodies its seed-idea with a grace and entirety few other authors have accomplished (barry lopez is the only one who comes to mind, able to communicate the most peculiar and ineffable feelings). i was looking forward to regaining the magic of crowley's works with this book, but i apparently flubbed it, because that didn't happen - i read the book at a magic: the gathering tournament in a jet-lagged exhaustion, so i probably didn't give it a fair shake. part of this is the problem with a book this length - unlike little, big, the world and characters don't have time to grow on you like they're supposed to.$some novels you try to avoid synopsis because the story is too joyful in its own unfolding. other novels lend themselves nicely to synopsis; and in some novels you wouldn't know where to start. there are a few authors, also, towards whom i have to disclose an underlying bias (i think harold bloom admitted as much in this case) - john crowley is one of these. in great work of time these two conditions intersect. crowley has been a favourite of mine since i first read little, big, which by the way if you have any interest in contemporary, adult fantasy that doesn't involve orcses and elves and dragons (not that there's anything wrong with that), you owe it to yourself to read: read the literary significance section on the novel in wikipedia and find stronger recommendations than mine."
how to make a journal of your life by dan price,"a tiny, inspirational book about keeping a diary including the art of writing, sketching, collage and photography. i especially enjoyed the chapter about photography since this is a topic rarely mentioned in books about journaling (at least to my knowledge). since this is only 100 pages and small format, most topics are only briefly touched upon, but it can whet your appetite to learn more about the techniques mentioned.$what a neat, little book on journaling. and not just journaling.but documenting life around you. first, write about whatever, but more importantly, add to the journal, with drawing, photos, snippets and pieces found around you. there is a small portion on taking good photos, how to sketch with the right side of your brain, and saving those little mementos from life and add them to your journal with a note. there is even a small piece on making your own journal to fill and how rewarding it is to go through them later to see and read about where you've been and what you've seen and experienced. $if you've ever thought of starting a journal but didn't know where to begin you have dan price to show you the way. his handwritten book on how to write, document, illustrate and doodle a journal is priceless. he makes it look easy and super fun! i suggest you get this book to help get you excited about journaling!$i have been wanting to start a journal for a very long time and it just always seemed daunting! dan made it seem so fun and made sure to let the reader know that there is no wrong way of doing it and to make it fun along the way! $i liked this book better the second time around and would give it four stars now. the author gives some good advice for journal-keeping and using drawings and photos and found objects to document your journey through life. the book is all hand-drawn and illustrated and the author was a bit of a nomad who has a zest for life all of which is motivating and contagious. and he lives in joseph, oregon which is a great place i spent a lot of summers in when i was a child. extra points for that."
immortals of meluha,"i first heard about this book from a friend who had said that the book was a good read. curious i tried reading up more about it and saw that noted columnists like anil dharkar and sandipan deb had given it great reviews. i read the first chapter online and liked it well enough that i decided to buy it. i went to quite a few book shops and found that it was sold out in most places. that is really surprising for a first time indian author. finally i found it in a tiny little shop, the proprietor telling me that the one i bought was one of the last copies he had left.$flat and ordinary writing. it is like reading an essay written by a child in school. i am a big fan of fantasy novels and especially those that are based on indian mythology and that's why i had picked up this book early 2010 itself. sadly, all my excitement died out after only the first chapter when i had figured out already what the quality of writing was. the one necessary element in any fantasy writing is strong profiles of the characters, especially the leading ones, since characters in fantasy stories are always larger than life. another crucial element in fantasy novels is the creation of a sense of grandeur of the environment, the civilizations and races and also the characters interactions with them. however, in this book, the author gets so engrossed in moving the story forward that he forgets to create an image of any of the characters or of the fantasy world they live in.$this book is a nightmare for all those who not only are devout lovers of shiva but worship him for what we know of him. for me it definitely was a nightmare. the idea of his journey from human to supreme being is the only thing about the plot that i liked and which had tempted me to buy this book. but, very sadly, i could not relate to the tripathi's take on tibetan shiva and to the very vague writing (which killed me)!! moreover, if you really want to read a good mythology, why not read shiva purana or saivism this book is not for you. but, if in case you just want a not so well-written indian fiction you could waste your time on this! i believe even fiction should have some essence to it. $ "
imperial earth,"unexpectedly romantic are the words that describe imperial earth. for many years i have known this novel only by its title. based on that title, i had assumed the novel would feel bold and grandiose in every respect. so i was not prepared for how unexpectedly intimate and introspective it is. $well this was pretty cool.descriptions of titan, of space travel, and of a depopulated and reforested earth are all great. i also like the idea of washington dc as a giant smithsonian. settings are all great as usual.the social/cultural observations which are thrown in are pretty neat too. for example (spoilers) the main character is black, but this is only revealed halfway through the book as an inconsequential detail. he is also bisexual, as are most people. religion and meat eating have also pretty much died out. also large concentrations of wealth no longer exist.$it's been a while since i picked up clarke, and somehow i missed this when i was younger. in a lot of ways, i am glad i waited, because there are some parts of this that would not have effected me the same way when i was younger.$i just re-read this after an interval of roughly 35 years. written to commemorate the us bicentennial in 1976, it's basically propaganda for space travel and technological innovation, aimed at young americans. it is set in a future where space travel within the solar system is common, colonies have been established on (at least) mercury, the moon, mars and titan, and the american political model, tempered by a degree of enlightened authoritarianism, has been extended throughout the solar stystem.$ i think sf author ben bova must have read this and had his socks knocked off; the flavour of “imperial earth” is all over his lovely grand tour novels, and you can see in arthur clarke's book the inspiration for bova's more recent epic series (and it's all win-win, as far as this sf fan is concerned). it's an odd title for a novel that is an exquisite exercise in peaceful world-building, but clarke creates a living, breathing future you can reach out and touch. mind you, some of the dreamy tropical reef exploration feels a bit out of synch with the rest of the book, but it's a mild tangent that doesn't detract from the rest of this sumptuous novel. "
journal to the self,"it was ok. the journaling ideas were fantastic. however, many of the stories and examples were extremely new-agey. if you are willing to call your journal your “blood brother” or sprit friend or whatever, then you will love this. if you are more plain & practical like me, you'll appreciate the tips while gritting your teeth at the fuzziness.$what i learned from this book is that there are no rules when it comes to personal journal writing. this one aspect has made the idea of keeping my own journal less daunting.$a simple text, but i think a classic. when i give journal workshops at my local library, this is the main text i use to gather up potential exercises (and they're all fun!) i have also had kathleen adams as a teacher in grad school and she's a beautiful human being. it was perhaps one of the most fulfilling cycles in my life when i was consistently working with her coursework, which included the workbook version of this text.$i bought and read this book with so much pleasure i made it a part of my permanent library. it is still there, on my shelf, and i refer to it often. if i had to chooe between this or her other book the way of the journal i would say read this one! however, don't hesitate to buy both because they are a perfect complement to one another. invaluable to anyone who takes their journaling seriously or who maybe needs to infuse their journaling with something new. $as someone with an ever-growing interest in and love for journaling, i really liked this book. i would definitely recommend it to anyone looking to further their connections with themselves or even just gain a new perspective on journaling and to see what it can do for a person. $"
keeping a journal you love by sheila bender,"this is a book aimed toward journalers who also want to write, although the book description doesn't make that clear. bender quotes from the journals of published writers (fiction and non-fiction) and lets those excerpts inspire writing and journaling exercises for the reader to try. this isn't a book for people who have never journaled before, yet it doesn't really offer much to the experienced journaler either. perhaps advanced beginners would get the most out of this book, plus its target audience: people who want to write, period.$as my children grew from preschoolers to high schoolers, entries to my childhood diary increased while my responses to writing prompts became more and more sporadic; those one-line prompts didn't always strike the right chord to get my creative juices flowing. i started to rethink “journaling” and how i spent my writing time, and turned to these books for guidance.$this book had some helpful tips and interesting parts, but it seemed confused. i couldn't tell if it was written as a creative writing books, as in “journaling your way to becoming a better fiction writer” or as a book about getting your life down on paper. i thought it would be the latter. it mostly tried to be both, but fell short with each topic. also, the journal excerpts as examples got old and most of the tips were rather shallow. it's a fine book and a fun enough read, but not one i will return to for reference. $there are a lot of great suggestions in this book, and many of the exercises are quite fun. nothing is particularly revolutionary, but if you do want to start a journal you can keep up with, bender gives important writing reminders and interesting ways to keep coming up with new material.$i liked this book alright i am just not sure this approach to journaling works for me. while there were some suggestions that interested me most of it is based off of ideas from others journal writings and while there's nothing wrong with that in and of itself, it can make it harder to let your own voice come through in your writing.$"
midnight's children,"midnight's children is not at all a fast read; it actually walks the line of being unpleasantly the opposite. the prose is dense and initially frustrating in a way that seems almost deliberate, with repeated instances of the narrator rambling ahead to a point that he feels is important--but then, before revealing anything of importance, deciding that things ought to come in their proper order. this use of digressions (or, better put, quarter-digressions) can either be attributed to a charmingly distractable narrator or a vehicle for (perhaps cheaply) tantalizing the reader... or both.$this is my absolute favourite rushdie novel. its background of the partition of india and pakistan after the disastrous and cowardly retreat of the british occupiers and the ensuing emergency under indira ghandi provides a breathtaking tableau for rushdie's narrative. his narrator is completely unreliable and that is what makes the story so fascinating. i lend this book out so many times after talking about it so much (and never got my paperback copy returned) that i had to buy a hardcover that i would no longer lend out so as not to lose it anymore. it was the first time i read a book with this kind of narration (mostly having had the omniscient, distant 3rd party narrator or the interior dialog or stream-of-consciousness 1st person narrator) and this was a revelation for me which later led me to read dfw, pynchon and other post-modern writers with relish. a fantastic 20th c masterpiece!$discard skepticism as you approach this epic. suspend disbelief. because myth and truth blend into each other imperfectly to spin a gossamer-fine web of reality on which the nation state is balanced precariously. and we, the legatees of this yarn, are caught up in a surrealist farce which plays out interminably in this land of heat and dust and many smells, our rational selves perennially clashing with our shallow beliefs but eventually succumbing to an incomprehensible love of the absurd. illusion has more to offer than you think.$the narrator, the indian muslim saleem sinai, doesn’t claim to possess the absolute truth of the events that shape the world he lives in, he doesn’t even claim to understand them and so he teases but never poses, he plays with his imagination but never lies about his erratic memory which, either real, inaccurate or both, ends up participating as another fictional character in the story."
narrative journaling,"i am a middle-age american white guy obsessed with my country's shameful chapter, our peculiar institution - slavery. no matter how many books i read, movies i see or any other means of approaching the subject there exists a gulf of understanding that can never be bridged. i can feel pity, shame, anger or any other emotion, but i will never know. $i am embarrassed to say i had no idea that this was a true story. i find it odd that i had never heard of this particular slave narrative, given how powerful and informative it is. i decided to read it after all the media frenzy surrounding the movie (which i havenot watched and probably will not).$i cannot fathom this book. everything that happens in this autobiography is so distant from anything that i have experienced that i cannot even conceive of the injustice in any sort of measurable or reasonable amount. i feel angry and heartbroken that this sort of crime ever took place in our country, disgusted to the point of choking, so horrified that human trafficking through america is still so present and strong, so helpless because i donot even know how to help, because i want to help, because i would want to kill the person that took my freedom from me and forced me to work, in any capacity, that treated me like chattel.$a lot of people are saying this book reads like a novel, but i couldn't disagree more. it reads like a man telling his life story, which is fascinating, giving what the man became for twelve years, but not as engrossing as some of the new journalism that came out in the 60s and 70s by people like hunter s. thompson and norman mailer. call it a book of its time. $the gut wrenching account, apparently true, of solomon northrup, a free black man, with wife and children living in new york state. he is kidnapped and sold as a slave, then shipped south to work on the plantations in bayou boeuf louisiana. he spends most of the twelve years under the cruel tyranny of a sadistic plantation owner named epps. $i can say that it was chilling, heart breaking, gut wrenching, atrocious and none of these words can aptly describe solomon northup's experience as told in this memoir. i did not know about this book until i saw the movie last month. during the brutal lashing scenes and the heart breaking scene of a mother separated from her children, you could hear a pin drop in the theater. $"
one million tomorrows,"i read this back in 1970 when it was first published. after reading a couple of scathing reviews below, i decided to reread it and see if i still like it. i am a big fan of bob shaw --- especially orbitsville and the ragged astronauts. so far this one is pretty good.$by the norms of the last years of the 22nd century will carewe is an unusual funkie - or functional male - in that he has turned forty, has been in a monogamous relationship for ten years to his wife athene, and has given no indication yet that he intends to tie off.$science has found a way to slow down the decay of the body, ensuring that humans have become, in theory, immortal. the only problem is, while females retain their sexual potency, males become effectively impotent as a result.$this is not a future that i would care for, to say the least. you can take a shot to become immortal but have all the lead taken out of your pencil if you are a man, so to speak. also, being immortal doesn't mean that you are invincible. you can still die from a satellite dhish falling off your dhome as you are walking out the dhoor.$ "
sacred games,"it took me a year to read this book. one year and exactly three days. at nine hundred pages, i spent 12 months considering how to approach the text, how to shrink it and put it in my pocket, my purse, comfortably under my arm. after 12 months i sat down, opened it, and proceeded to consume it in three days.$well, what a little hypocrite i am . because politically, this book has so much wrong with it on so many levels. so don't rush out and read it and then denounce me, and you know who i am talking to. but. still. what a story. what writing. what a great read. in its scope and thrust and breadth -- it is at once a detective story, a character study or rather series of character studies, a sweeping meditation on the post-colonial history of india and in particular the national question (i found one of the subplots, having to do with the ravages of the partition, just devastating, it left me weak and weeping), a fascinating portrait of a great city -- this is a masterful novel. tolstoyan, i'd say (now that i am such a big tolstoy expert having finally read war & peace recently). $what a book! it took me a while to complete owing to the length. but a solid story with many smaller stories intertwined. the main protagonists sartaj singh and ganesh gaitonde are very very well written. not that well covered but very memorable are the two sisters jojo and mary. but the smaller characters (present in abundance) are the true scene-stealers. aadil who appears at the fag end, sartaj's co-workers - kanetkar (and his family), kamble, parulkar, majid khan; blackmailed kamala and her boyfriend, guruji shukla, iffat biwi - these folks will live with me for a long while. the working of mumbai police and underworld have been covered really thoroughly. hats off for this much research.$"
shadow lines,"this was an amazing book that left me blown away by the beautiful vivid storytelling, the insightful analytical commentary and the thought provoking message of the book.the book collapses time and space, placing events from different times and places next to each other. the narrator goes from his experience as a little boy in india to london both through the stories of his uncle and his own experience there as a student. from this narrative structure emerges a powerful message.$i think this is the perfect book. it isn't a novel. it is something beyond what words can comprehend. our lives are made up of memories. maybe proper, maybe improper. this is a live example of that. the strange yet a unique and beautiful way of narration makes the story much more intriguing. it literally goes beyond time and space to build an exquisite stockpile of emotions. a person doesn't read this book, he feels it.$this book was recommended to me by a friend who had simply loved it. she claimed the book to be one that was meant to be read several times, with each reading rendering a deeper understanding and probably a different interpretation. i was naturally curious and wanted to see what she meant by that statement. with that in mind, i promised to read it with her and discuss it. of course, i was really lazy and never got around to reading it, until today$i'm having a hard time figuring out what to say about this. the description and some of the reviews say this is, on the surface, a story of two families - one indian, one english. i found it only the story of the indian family who happened to know the white english family and who occasionally spent time with one or other of them. by that i mean that the indian family sometimes interacted just with themselves, but the white family members interacted only with the indian family members, rather than sometimes just with each other.$i really wanted to like this book. there are some great observations from a child's point of view. there are also some real sentiments from the elderly grandmother teacher. but..i easily put this book down to watch tv, talk to my cat, tweeze my eye brows or anything else. the narrator /main character tells his story in a haphazard fashion, not stream of consciousness. either i couldn't follow him or i didn't care enough to try.i thought it would be nice to read about a middle class indian for a change. the narrator's family was intimately connected with an english middle class family . i didn't find them or their relationship engrossing either.the political upheaval , partition of pakistan, should have been a lightening rod. it was significant , but buried.$"
stranger in a strange land ,"apparently a classic of the sci-fi cannon, i'd never heard of this book until it came up on a book club here. it took me a long time to read only because of lack of time, and a rather annoying trait the author has that i will go into later.this is one of those books that tells us more about the period it was written in than anything else, so it's important to note that it was first published in 1961 and later again in 1968 - when moon fever was running high and people seemed to have high expectations for human achievement.$this is a book that it seems like i should like. it deals with issues of religion, including a strong critique of religion as we know it, presents socially progressive ideas about sex and relationships, and relies upon a fundamentally humanist, individualist philosophy.$he's right it is. a woman should shroud herself in black, even wear a veil over her eyes and for extra protection she should wear a big size of doc martin boots so it could be a man under the shroud (michael jackson used to do that) and always be accompanied when she goes out. which should be rarely. very rarely. when she is in the house (most of the time) she should have the view through windows obscured and a chain on the door. no man who is not related to her should enter. not workmen, not the police, not her son's friends from school. no one. then she won't be raped.$nowadays, most people seem to either love or hate heinlein. many read his children's books like podkayne from mars, red planet and the rolling stones, enjoyed the adventure and moved on to his adult stuff just to get more. the politics, sexism and lack of depth went over their young heads. to them, his books were just great adventure. and yes, for the era in which they were written, they were great adventure and less sexist than most sf at the time. $"
swami and friends,"i would never have known about narayan had not the parent of a child with whom i worked introduced me with a christmas present of the everyman's library edition of the four 'malgugi' novels. another lucky reward of my job. the first of these novels, 'swami' is the story of a ten-year-old boy in a small town in southern india, just as gandhi's independence movement is gaining traction. $this is a beautiful book about childhood, specifically boyhood, told by a master story teller about to begin his long and fruitful creative life.famously, swami and friends is the work which got rk narayan his start, when a friend in london showed the manuscript to graham greene, leading to its publication, after the friend ignored rkn’s instruction to throw the work into the thames.$in fact, i enjoyed reading all of the 19 chapters in the first narayan novel since i'd never read him before. it's one of the novels published in the everyman's library series and i couldn't help admiring him as well as his writing style, narrative and sense of humour to the extent that i could visualize how the rural indians lived in the remote country nearly similar to my rural thailand some 55 years ago.i'm sorry i don't have the everyman's library hardcover nearby, therefore, i can't write my review in more detail in the meantime (i'd definitely write a more in-depth one whenever i can find the copy). in short, find this novel to read and you'd love narayan as one of the pioneering indian writers in the 20th century."
tender is the night,"when fitzgerald finished this gem, he was stunned by the poor reviews it received. i honestly think it's a profoundly more true and powerful book than gatsby ever will be. his effortless and viceral writing tells a story of such complex and accurate human relationships, i often find myself reflecting on dick diver as a friend i should check up on, and part of me thinks i spent a year of my youth hanging out on the french riveria having too much to drink, but somehow pulling it off sophistication. now that i sound like a lunatic, i must express this is not normal for me. the world and characters really got under my skin. after my first reading i woke myself by weeping.and i was weeping for the characters. $how is one to feel about a protagonist who frequently displays signs of elitism, sexism, bigotry and homophobia, finds himself worryingly attracted to young girls, has no goal in life except to make himself useful to damsels in distress, and drinks away his career and marriage, ending up a mere shadow of his former self? is one supposed to regard him as a tragic hero? is one to sympathise with him? and if one does sympathise with him, is that because of the way he was written, or rather because we are aware that he is a thinly veiled version of the author himself, a giant of early-twentieth american literature?$this book is so pointless, you could read the chapters in random order and probably not feel like you'd missed much. this marks my second and final attempt to read it. i almost made it to the halfway point this time. if you loved the great gatsby, don't get your hopes up for this one to be anything close to that good. you'll be disappointed.$"
the aesthetic page,"i came to the decorated page as a text-centric journal-keeper who rarely added anything else, and that would be nothing much more than gluing in a comic strip, artifact or article relative to the content of an entry. i was leery of a book with this title: what mattered was the text, so why decorate extraneously for decoration sake? then i read what gwen diehn had to say (and show) and i immediately went out and bought a small inexpensive watercolor set, water color pencils and a pack of cheap brushes. diehn offers general how-to information about various techniques and tools and her book is richly illustrated with photographs of a variety of journals. this is a fine companion volume to the author's other book, the decorated journal. both are good for beginner or more advanced journal keepers and artists. $at anytime, i have 3 journals going. my goal is to chronicle not only events for future reference but create a beautiful and accurate history of what my life is like as i see it through my eyes and experiences. this is a good but pricey resource i would recommend, but only if you have a coupon or can get it used. i can say it's defiitely improved my journals.$in the decorated page — an inspiring and amply illustrated forerunner to her most recent work, the decorated journal — author and artist gwen diehn effortlessly motivates the flowing of creative juices with regards visual journaling (complementing descriptive text with visual art), beautifying and personalizing journals, scrapbooks, and albums as a form of artistic expression.$i have kept journals since i was a little girl (i can go back and read my first impressions on getting glasses, back when i was eight), and recently i have started making and selling notebooks. the decorated page has some great ideas for enhancing the notebooks i sell, and outlines many art techniques that fit well inside the pages of a book. i'd recommend it to other journal enthusiasts, or to aspiring writers and artists looking for ways to get unstuck and conquer those blank white expanses of empty pages.$an old (now) but still very good primer on journals and journaling. gwen diehn includes all the basics you'll need to know to start keeping your own journal: there's plenty of information on the materials needed, including what will make your work archival; tips on modifying a book and cover to suit your needs, as well as on preparing backgrounds; then suggestions on design and layout. diehn also takes the reader step by step through 10 sample pages tackling different issues with varied techniques.$"
the blue umbrella,"this is a children's fiction. it has a simple story about a girl name binny and her love of a blue silk umbrella which she spots and obtains it from some picnickers in exchange for a necklace which had a leopard's claw which was considered as good luck. the adults of the village are jealous of her. children adore and appreciate her umbrella and she gives it to them to hold. the story describes, how happy binny is with her umbrella which she never closes.$the book is about a young village girl, who is total love with her magnificent, beautiful, and ye-pleasing blue colored umbrella, and soon becomes the topic of discussion for the entire village. an old man, who cons children from their belongings gets fascinated with the blue umbrella, and is extremely jealous, from the fact that the young girl is getting all the attention, just because of that umbrella. sometimes, in life, how do small things effect us emotionally, and how things changes when those small little things are no longer a part of us, could be summarized as theme of the brilliant novella from the legendary writer.$few authors and books has the magic to transport you to childhood and the blue umbrella is one such book. i started it as a part of reading challenge and rereading the book reminds me of the days i enjoyed as a child.in less than 65 pages ruskin bond teaches us lessons of love, greed, sacrifice and how a kid can be happy with little things they have. the illustration by archana sreenivasan adds beauty to the book and captures the picturesque village, innocent biniya and grumpy ram.$ruskin bond is undoubtedly a name that emerges in our minds when we think about slow, subtle and mesmerizingly simple books to read on a lazy afternoon. ruskin bond makes sure to enthrall his readers by his beautiful descriptions of the nuances of the indian subcontinent, with a slow but very engaging storyline. the blue umbrella is not any different.set in a typical indian village, this novella tells a simple story of a village girl by the name binya, and her escapades with a pretty blue umbrella that she spots with some picnickers who happen to visit the village, and which she purchases from them in return for her necklace which has a tiger's claw strung to it. owing to the very simple life in the village, it so happens that all the villagers start wishing they had the umbrella. $"
the calcutta chromosome,"i think this is a book which has an excellent plot and the mystery is truly gripping. i particularly enjoyed the section where author phulboni experiences the apparition of lakhan and the station master at the ghost rail station of renupur. the narrative was so realistic and rich that i almost found myself in the shoes of phulboni. i think the computer tricks and overstated computing technology that is featured in this novel makes it slightly less credible, especially today when network computing and data transfer has become very advanced and an everyday regular affair.$my first ever book by a. ghosh and because of this i bought four of his later books over the years. none matched the suspense of the first one, which i read in the hot summer in a poorly air-conditioned texas dorm room. i could almost feel the delirium myself. $i'm finding it very difficult to give a genre label to this work - fantasy, horror, thriller, medical mystery historical fiction - though sci-fi for some reason seems to be its accepted genre. the plot uses a whole lot of themes - science, mysticism, religion, mythology, counter-science, even nihilism to a certain extent. i can't be sure but i also wonder if the author was firing a tiny salvo at a western attitude towards indian scholars, and how history has been written to glorify its authors. (non-objective and not giving credit where due) $if peter weir's movie the last wave (aka black rain) were set in india and involved the study of malaria, and you threw in a little stanislaw lem, and you stuck it all into a set of russian nesting dolls, you might end up with something like the calcutta chromosome. $excellent read. amitav ghosh's portrayl of kolkata is very refreshing and probably lends a good perspective to the various communities which have made kolkata its home during the colonial period.the story in itself is very thrilling and mysterious and keeps one guessing till the end ( unless you read the end first). it is a historical fiction but can be called a ghost story because of the cult which it describes. my take on this book is a four star. a good book to read to pass the time and know kolkata$"
